Identifier	Character	Dialogue	Filename	Line Number
adam_alkay_dialog_22908d56	adam	Yes, of course, any friend of Alkay is a friend of mine! What would you like to know, [alias.first]?	game/ch_adam.rpy	94
adam_alkay_dialog_b28ea849	p	Well, he mentioned a little bit about how you two met, what was your perspective?	game/ch_adam.rpy	96
adam_alkay_dialog_1f462455	adam	That's not something I'd normally share with strangers, but if Alkay sent you, I'm sure that I can trust you.	game/ch_adam.rpy	98
adam_alkay_dialog_9a37621f	adam	Where to begin... Ah yes. The operation.	game/ch_adam.rpy	100
adam_alkay_dialog_97bf2612	adam	I'll try to keep this as brief as I can so I don't bore you to death.	game/ch_adam.rpy	102
adam_alkay_dialog_4a6ba990	adam	So I was part of the team that made first contact with the kaldreans. I was an engineer on the TSS Armada.	game/ch_adam.rpy	104
adam_alkay_dialog_8065749c	adam	When we first saw the aliens, the whole ship was dead silent for a long time. Seeing another intelligent race was... Wow. I can't even describe the emotion.	game/ch_adam.rpy	106
adam_alkay_dialog_24d65029	adam	But I digress! Anyways, then the fighting broke out. Neither side wanted to fight, but eventually someone pulled the trigger.	game/ch_adam.rpy	108
adam_alkay_dialog_408199c7	adam	Attempts to communicate were futile due to the language and culture barriers.	game/ch_adam.rpy	110
adam_alkay_dialog_cec1f702	adam	Through the process though, I befriended Alkay. He was one of the first kaldreans to learn the human standard.	game/ch_adam.rpy	112
adam_alkay_dialog_7b1e0008	adam	We were practically the emissaries of the time.	game/ch_adam.rpy	114
adam_alkay_dialog_a1c831ab	adam	He was taking a huge risk doing this though. He was going against his leaders to try to stop the fighting. It was very brave of him. Some could argue foolish, but either way he was successful and we live in peace because of it.	game/ch_adam.rpy	116
adam_alkay_dialog_718bbfc3	adam	Alkay and I have been friends ever since.	game/ch_adam.rpy	118
adam_VL_tree_start_88fac75a	p	What can you tell me about Valak Lideri?	game/ch_adam.rpy	126
adam_VL_tree_start_60a73d7d	adam	Well, that's certainly an ambitious question for someone so new to Concord. How did you come across this rumor?	game/ch_adam.rpy	128
adam_VL_tree_start_7789f4cc	adam	I have been here for nearly my entire life and I've only heard whispers of this group's existence. And I have a careful ear.	game/ch_adam.rpy	130
adam_VL_tree_start_119fbc2c	p	I will remind you that I am a diplomat - I was chosen because I too have a careful ear.	game/ch_adam.rpy	132
adam_VL_tree_start_fbfdf652	adam	Ah yes, I see.	game/ch_adam.rpy	134
adam_VL_tree_start_5568d126	p	Probably also a coincidence.	game/ch_adam.rpy	136
adam_VL_tree_start_f8943da8	adam	I can relate to that - I have been involved in my fair share of coincidences throughout my life. So what do you think about this group, based off what you know?	game/ch_adam.rpy	138
adam_VL_tree_start_ed24e2d8	adam	I've heard some conflicting viewpoints on them so I'm curious to know what you think.	game/ch_adam.rpy	139
adam_VL_tree_sympathize_6c2e5e89	p	I think that Valak Lideri have a stronger set of morals than the rest of us give them credit. I still think that they are risking a lot, especially now.	game/ch_adam.rpy	149
adam_VL_tree_sympathize_84677b61	adam	I'd need to understand them better though to give you a solid response, I'm basically just going with what I've been told.	game/ch_adam.rpy	151
adam_VL_tree_sympathize_95906535	adam	It all depends on what you've been told, of course. I agree with you; they are taking a huge risk right now, but they definitely do have a strong moral heading.	game/ch_adam.rpy	153
adam_VL_tree_sympathize_47c33087	adam	Although, assuming they do want to spark a revolution, their apparent itch for chaos does not really make sense.	game/ch_adam.rpy	155
adam_VL_tree_sympathize_f00fbe87	adam	They don't seem like they would be such a violent group, given their morals.	game/ch_adam.rpy	157
adam_VL_tree_nowhere_c77e2189	p	Hopefully they don't resort to violence - the change they want to impart on this scale... it is still too fragile.	game/ch_adam.rpy	166
adam_VL_tree_nowhere_e6cf1d55	adam	What you have to understand, is that there is always a time for peace and for violence. If my experiences during the first contact conflict and the years following were anything to go by...	game/ch_adam.rpy	168
adam_VL_tree_nowhere_c9033f59	adam	Look, you'll be told that a peaceful resolution is always the best answer. But when you come down with a disease, let's say, you terminate with medicine because it is a pest.	game/ch_adam.rpy	170
adam_VL_tree_nowhere_91c1da2c	adam	The same goes for establishments. How many have shattered under the scope of a sniper rifle?	game/ch_adam.rpy	172
adam_VL_tree_nowhere_c654b780	p	I can see your point, but establishments and actual people are two completely different things.	game/ch_adam.rpy	174
adam_VL_tree_nowhere_085b50d1	adam	[alias.first], you did not live through the conflict the way I did. Peace works very, very well in the long term. But violence is a quick way to solve immediate problems - strategy versus tactics.	game/ch_adam.rpy	176
adam_VL_tree_nowhere_8f4583fb	adam	You don't have to agree with me, we all have our separate opinions and backgrounds to inform them, but this is the way I have seen it work in the past.	game/ch_adam.rpy	178
adam_VL_tree_nowhere_ee503f76	adam	Valak Lideri, if I could make any guesses, have found their way, and they are willing to pursue it with great force. For a rebel group to  even become a rumor, they must have good cause and powerful people in the background.	game/ch_adam.rpy	180
adam_VL_tree_care_less_5a33b1e9	p	I don't care too much about how they go about pulling this off. As long as their intentions are strong and directed, what will come of it will be good.	game/ch_adam.rpy	188
adam_VL_tree_care_less_c9986126	adam	Sometimes we have to make concessions for the greater good - I found that out the hard way during the first contact conflict.	game/ch_adam.rpy	190
adam_VL_tree_care_less_2da41993	adam	You begin to question what you know about morality when lives are called into question.	game/ch_adam.rpy	191
adam_VL_tree_care_less_bb7dfb49	p	I understand.	game/ch_adam.rpy	193
adam_VL_tree_disapprove_69d17cd1	p	I don't really know what to think of them, I haven't heard too much. In general, though, rebel groups like these compromise the peace that we all work so hard to keep afloat.	game/ch_adam.rpy	202
adam_VL_tree_disapprove_2306122f	adam	While they all have their justifications and sometimes they make perfect sense, ultimately their very existence counteracts the change they seek.	game/ch_adam.rpy	204
adam_VL_tree_disapprove_09ebf4f9	adam	Hm... there are many examples where history supports your assertion, but sometimes these groups have noticed something fundamentally wrong, and they are simply trying to do what is best.	game/ch_adam.rpy	206
adam_VL_tree_disapprove_37570988	adam	During first contact there were suddenly many of these rebel cells who were all fighting for what they thought was right. Some worked to push us away, others to bring us together.	game/ch_adam.rpy	208
adam_VL_tree_disapprove_64d3f6ad	p	So what exactly is your point?	game/ch_adam.rpy	210
adam_VL_tree_disapprove_b7eac7e3	adam	My point is that these rebel groups are not something that you simply sympathize or disagree with - they lie in a moral gray zone in which our own sense of ethics begins to affect our perceptions of them.	game/ch_adam.rpy	212
adam_VL_tree_disapprove_4611acd0	p	Right, that I can agree with.	game/ch_adam.rpy	214
adam_Bg_tree_start_3a12e893	p	What can you tell me about your past? I don't mean to offend, but you look like you've seen quite a great deal of change here.	game/ch_adam.rpy	222
adam_Bg_tree_start_0b717d00	adam	That I have. But actually, I was there when we made first contact. I was a chief engineer aboard the TSS Armada, flagship of Operation Bridge.	game/ch_adam.rpy	224
adam_Bg_tree_start_4bcbf85f	adam	I can still remember my heart swelling with pride seeing Terra disappear behind us as she brought us to the stars.	game/ch_adam.rpy	226
adam_Bg_tree_start_c2769297	adam	Space was not foreign to us, but the distance from home was.	game/ch_adam.rpy	228
adam_Bg_tree_start_4391a911	adam	Nowhere in our minds was the possibility that we could come into contact with another highly-intelligent biped species like our own.	game/ch_adam.rpy	230
adam_Bg_tree_start_c57a3cb5	p	I imagine it was pandemonium when you first saw them?	game/ch_adam.rpy	232
adam_Bg_tree_start_e06991e9	adam	Boy, that moment when we stopped over bridge and saw their fleet, it was silent for a straight ten minutes.	game/ch_adam.rpy	234
adam_Bg_tree_start_97b55b15	adam	From that point on it's history - but I need to be completely clear that neither their commander nor ours wanted the fight to break out.	game/ch_adam.rpy	236
adam_Bg_tree_start_c37d8909	adam	The warning shots eventually turned into full-on fighting. The Verdict was shot down... we took down their ship the Krona... it was a disaster.	game/ch_adam.rpy	238
adam_Bg_tree_start_849b30bc	p	So how did you end up resolving tensions with the kaldreans?	game/ch_adam.rpy	240
adam_Bg_tree_start_cd7f6b1d	adam	It was certainly difficult trying to communicate with one another. We were literally thrust into a completely different culture.	game/ch_adam.rpy	242
adam_Bg_tree_start_59d67a18	adam	We landed here and then we tried to establish some form of communications.	game/ch_adam.rpy	244
adam_Bg_tree_start_8b38b442	adam	Through the process I became friends with a kaldrean, Alkay - wonderful character that one.	game/ch_adam.rpy	246
adam_Bg_tree_start_be405caa	p	So I take it you were around when Concord was constructed.	game/ch_adam.rpy	248
adam_Bg_tree_start_581fdc4b	adam	For the first decade I was actually back on Terra. But I decided to come back here and do my best to facilitate the friendship between the kaldreans and humans.	game/ch_adam.rpy	250
adam_Bg_tree_start_7f5288fd	p	Clearly your work paid off.	game/ch_adam.rpy	252
adam_Bg_tree_start_3ace53d7	adam	You could certainly say that.	game/ch_adam.rpy	254
adam_Bg_tree_Alkay_d5f3a08d	p	You mentioned Alkay?	game/ch_adam.rpy	262
adam_Bg_tree_Alkay_c87c6660	adam	Oh he's been a friend of mine for many years now.	game/ch_adam.rpy	264
adam_Bg_tree_Alkay_d966b1b5	adam	He was actually instrumental in resolving the conflict because he was one of the first kaldreans to learn human standard - probably the first, actually.	game/ch_adam.rpy	266
adam_Bg_tree_Alkay_3d2c5dc2	adam	When I was... when I was working alongside them during the war he and I were unofficial emissaries. When you next stop by Oasis tell him I sent you - he'll be happy to know.	game/ch_adam.rpy	268
adam_Bg_tree_conflict_808021ac	p	So, could you explain your experience in the first contact conflict a little more?	game/ch_adam.rpy	275
adam_Bg_tree_conflict_014c740f	adam	I suppose... although the events that transpired affected quite a few people, including a number of those who live here on Concord.	game/ch_adam.rpy	277
adam_Bg_tree_conflict_3e49a372	adam	I'll try to keep this brief because you really don't need to hear about all the problems.	game/ch_adam.rpy	279
adam_Bg_tree_conflict_64f21cf6	adam	With the Verdict and the Krona damaged beyond repair the rest of our ships landed planet-side because we needed to make repairs.	game/ch_adam.rpy	281
adam_Bg_tree_conflict_9f1ab0ff	adam	Fire was exchanged on the ground despite explicit orders on both sides not to.	game/ch_adam.rpy	283
adam_Bg_tree_conflict_a0d76271	adam	Some of our scouts went missing at about the same time that our people made hostages out of their scouts.	game/ch_adam.rpy	285
adam_Bg_tree_conflict_438bb3f1	adam	It was all quite tense - lives were unnecessarily lost.	game/ch_adam.rpy	287
adam_Bg_tree_conflict_f8d3c444	p	Are you okay?	game/ch_adam.rpy	289
adam_Bg_tree_conflict_96503fb5	adam	Yeah. I'm still upset by how much pain we could have avoided if we had been better prepared. So just always remember, [alias.first], go prepared; you'll never know quite what to expect out there.	game/ch_adam.rpy	291
adam_Bg_tree_conflict_2c467556	p	I'll do my best.	game/ch_adam.rpy	293
ch_ben_d34932bd	ben	I was told we were going to have a new team member. You must be [alias.first].	game/ch_ben.rpy	14
ch_ben_5ef06c7e	p	That is me.	game/ch_ben.rpy	15
ch_ben_e91dad3c	ben	Wonderful. As you might already know, I'm Ambassador Columbus. But please, just call me Ben. I hope that your time on Concord thus far has been pleasant.	game/ch_ben.rpy	16
ch_ben_7bc22752	p	It's a beautiful city.	game/ch_ben.rpy	17
menu_ben_f4f4fa61	ben	[last_dialog]	game/ch_ben.rpy	23
ben_ask_kald_govt_71ba29de	p	I was wondering about your opinion on the state of the kaldrean government.	game/ch_ben.rpy	43
ben_ask_kald_govt_fe19dc12	ben	Their government is stable and provides their people with high standard of living. I do not see anything particularly wrong with it.	game/ch_ben.rpy	45
ben_ask_kald_govt_dd3fb3f1	ben	Is that along the lines of what you were looking for?	game/ch_ben.rpy	47
ben_ask_kald_govt_f7fd1beb	p	Yes, thank you.	game/ch_ben.rpy	51
ben_ask_kald_govt_ff4abd7e	p	Well, to be honest, I was looking for something more... in depth.	game/ch_ben.rpy	56
ben_ask_kald_govt_352ed468	ben	Ahh, I see.	game/ch_ben.rpy	58
ben_ask_kald_govt_e2032147	ben	Well, [alias.first], as I'm sure you understand, someone in a position such as mine must be very careful with what he says and to whom he says it.	game/ch_ben.rpy	61
ben_ask_kald_govt_3201cffe	ben	Especially in such tense times such as these.	game/ch_ben.rpy	64
ben_ask_kald_govt_a8bac1ac	ben	Now, as you seem to have already figured out, my opinion on how the kaldreans govern themselves is not exactly positive.	game/ch_ben.rpy	67
ben_ask_kald_govt_91ee3620	ben	I would gladly talk about it with someone whom I knew I could trust.	game/ch_ben.rpy	69
ben_ask_kald_govt_03741fec	ben	On the other hand, you have shown yourself to be a reliable and competent person.	game/ch_ben.rpy	77
ben_ask_kald_govt_923befe9	ben	Maybe I could share with you some of my less... popular opinions on the kaldrean governmental system.	game/ch_ben.rpy	79
ben_ask_kald_govt_dcedc3b2	p	I'm listening.	game/ch_ben.rpy	81
ben_ask_kald_govt_32351836	ben	The kaldrean government on Qolisk is a tad... shall we say, controlling. Have you read 
Vel Kerriss' Dystopia?	game/ch_ben.rpy	83
ben_ask_kald_govt_3ffde9df	p	I can't say that I have.	game/ch_ben.rpy	85
ben_ask_kald_govt_8b439213	ben	It was a controversial kaldrean novel that made it past the government's censors and was widely read and lauded as one of the greatest works of literature to date.	game/ch_ben.rpy	87
ben_ask_kald_govt_1e6995ea	ben	It may remind you of Fahrenheit 451 by Ray Bradbury.	game/ch_ben.rpy	89
ben_ask_kald_govt_7d317f47	ben	Simply put: their government is controlling, [alias.first], but what they take away from their people they seem to give back in other ways.	game/ch_ben.rpy	91
ben_ask_kald_govt_d85eb06a	ben	They have the highest standards of living I have ever seen, crime rates are low, there are no apparent problems.	game/ch_ben.rpy	94
ben_ask_kald_govt_5e23a77c	p	But they are blissfully ignorant.	game/ch_ben.rpy	96
ben_ask_kald_govt_842a886c	ben	You could say that, yes. I think that about covers their situation without inordinately distorting the truth.	game/ch_ben.rpy	98
ben_ask_day_c947206d	p	How has your day been, Ambassador?	game/ch_ben.rpy	106
ben_ask_day_04280197	ben	Quite frustrating, actually.	game/ch_ben.rpy	108
ben_ask_day_5fdf6ab7	p	May I ask why?	game/ch_ben.rpy	110
ben_ask_day_12465b98	ben	Well, I urgently need to speak with Lida Ezekeri Skar, the kaldrean Senior Operations manager, but she has been actively avoiding all my attempts to meet with her.	game/ch_ben.rpy	112
ben_ask_day_3cdae9fa	p	Any reason why you think she has been avoiding you? Or why she can in the first place?	game/ch_ben.rpy	115
ben_ask_day_4b8aa2c3	ben	As a kaldrean she is only obligated to respond to meeting requests with other kaldreans. On top of that, Ms. Ezekeri is an older woman who is set in her says, and has a certain... distaste for human politicians such as myself.	game/ch_ben.rpy	117
ben_ask_day_dad47c6f	p	Well, that is quite unfortunate.	game/ch_ben.rpy	123
ben_ask_day_eaa50289	p	Is it possible she would be more willing to listen to a newcomer such as myself?	game/ch_ben.rpy	129
ben_ask_day_37e2a886	ben	Hmmm... what a novel idea. Yes, why don't you try to persuade her? I would be most appreciative of the favor.	game/ch_ben.rpy	131
ben_ask_day_4866b7ff	ben	Now that I think of it, I'm confident you'll be able to persuade her to meet with me. You'll find Ms. Ezekeri in the kaldrean embassy.	game/ch_ben.rpy	133
ben_ask_day_6f37d73d	ben	Tell her that I need to discuss the new trade regulations with her.	game/ch_ben.rpy	135
ben_ask_day_5a0aceaa	p	Of course, but why exactly are you so confident in me? You only met me a few minutes ago.	game/ch_ben.rpy	137
ben_ask_day_b3247489	ben	I can just tell that you are going to have an impact here - perhaps you don't recognize it yet.	game/ch_ben.rpy	139
ben_ask_day_208e3a6b	p	I'll take your word for it.	game/ch_ben.rpy	141
ben_mention_lida_ffd902de	ben	Have you spoken to Ms. Ezekeri in the Kaldrean Embassy yet?	game/ch_ben.rpy	148
ben_mention_lida_94276cc7	p	Sorry, I haven't done that yet.	game/ch_ben.rpy	152
ben_mention_lida_8a4bbbb8	ben	Take your time. I will be awaiting news of your success.	game/ch_ben.rpy	154
ben_mention_lida_652477f1	p	I did talk to her but...	game/ch_ben.rpy	158
ben_mention_lida_e5c62126	ben	Let me guess: she was too difficult.	game/ch_ben.rpy	160
ben_mention_lida_eba8ea2a	p	Unfortunately, yes.	game/ch_ben.rpy	162
ben_mention_lida_43ce8161	p	I did, and she has decided to meet with you.	game/ch_ben.rpy	170
ben_mention_lida_4501a1a6	ben	That is wonderful news! I knew that you could pull this off, [alias.first].	game/ch_ben.rpy	172
ben_mention_lida_dfbd0248	ben	Ah yes, she has sent me a message accepting my latest request.	game/ch_ben.rpy	174
ben_mention_lida_206e3c9b	ben	Thank you very much for your help, [alias.first]. I will remember your kindness.	game/ch_ben.rpy	176
ben_advice_64519f71	p	What advice can you offer, from one diplomat to another?	game/ch_ben.rpy	184
ben_advice_a2cb0321	ben	Ah yes, of course. What often happens to the greenhorns who arrive here from Earth and Qolisk alike, is that they forget that they are entering an entirely new environment.	game/ch_ben.rpy	186
ben_advice_1b2ffd02	ben	You have to drop your prejudices and fabrications and simply observe. If you can't, then you struggle.	game/ch_ben.rpy	189
ben_advice_2e8341d3	p	I respect your advice, Ambassador –	game/ch_ben.rpy	191
ben_advice_b5209178	ben	Call me Ben, please	game/ch_ben.rpy	193
ben_advice_68fc0775	p	I respect your advice, Ben, but doesn't it seem like a lot to ask of anyone to simply "drop their prejudices?"	game/ch_ben.rpy	195
ben_advice_a5f5452b	ben	Of course it is. It's completely unreasonable – everyone will remain with their judgment tailored by their experiences.	game/ch_ben.rpy	197
ben_advice_fd6b14a7	ben	I never claimed it was possible simply become judgment-free. That does not mean that you can't try.	game/ch_ben.rpy	200
ben_advice_2a9ab253	ben	The closer you come to being spotless, the more those around you will accept you.	game/ch_ben.rpy	202
ben_advice_9e9ec633	ben	If only...	game/ch_ben.rpy	204
ben_advice_1b640dae	p	What?	game/ch_ben.rpy	206
ben_events_c863762f	p	You probably know all about the rumors of racial tensions that have been circulating. Care to elaborate?	game/ch_ben.rpy	212
ben_events_e1cb0e7d	ben	Rumors are but rumors - they are innocuous little flies that eventually die down. No need to concern yourself with these "rumors" my friend.	game/ch_ben.rpy	214
ben_events_be7f0db3	ben	I can assure that both Ambassador Irridiss and I are on quite even terms.	game/ch_ben.rpy	216
ben_events_232feae2	ben	The peace that we maintain here is secure so there is really no need to worry.	game/ch_ben.rpy	218
ben_events_e02f1060	p	If you insist...	game/ch_ben.rpy	220
ben_events_d672a5f2	ben	I have no reason to be dishonest with you.	game/ch_ben.rpy	222
ben_events_058ac1d4	p	No, I believe you. Thank you for the reassurance, Ben.	game/ch_ben.rpy	224
ben_Bg_98b003cf	p	Tell me about yourself	game/ch_ben.rpy	230
ben_Bg_87d7d5d8	ben	There is not much to tell. I was born and raised here in this beautiful city and grew up inspired by the previous human and kaldrean ambassadors.	game/ch_ben.rpy	232
ben_Bg_92cb6a44	ben	After graduate school I went into politics and I suppose you know how that turned out.	game/ch_ben.rpy	234
ch_cole_46b6734f	cole	Welcome to my store. What are you looking for today?	game/ch_cole.rpy	13
ch_cole_123119d0	p	Actually, I just arrived here, so I'm still adjusting to the climate and getting to know people. I'm [alias.full]. Nice to meet you.	game/ch_cole.rpy	14
menu_cole_a6566c0f	cole	[last_dialog]	game/ch_cole.rpy	19
cole_advice_81cd3214	p	Do you have any advice for a citizen new to Concord?	game/ch_cole.rpy	33
cole_advice_5459b051	cole	Give me a moment.	game/ch_cole.rpy	34
cole_advice_8c28288f	cole	Alright, I'm going to try to keep this concise, because no one likes a rambler.	game/ch_cole.rpy	35
cole_advice_ae174290	cole	Make friends here and give them your trust. Trust is a "give first and receive later" game, so you have to be the one to stick out your neck and offer it.	game/ch_cole.rpy	36
cole_advice_1260be55	p	And what happens if they betray you?	game/ch_cole.rpy	38
cole_advice_ec484bc6	cole	C'mon now, I never said you just walk around with your head down and your hands at your sides. You aren't asking them marry you. You just have to make some concessions in order to gain something out of an acquaintance. Test the waters before you leap in head-first.	game/ch_cole.rpy	39
cole_advice_639db9af	p	I can understand that. Thank you, Mr. Demarc.	game/ch_cole.rpy	42
cole_advice_16c606e1	cole	It's just Cole.	game/ch_cole.rpy	43
cole_advice_67681e0c	p	Right; thanks, Cole.	game/ch_cole.rpy	44
cole_events_cfb7ca69	p	So I've heard rumors of tensions between the kaldreans and humans here, what do you think is going on?	game/ch_cole.rpy	49
cole_events_cc4e46b4	cole	Rumors don't speak loudly, son, and in my older age I do not have the best of hearing any more. So I can't say that I've heard much...	game/ch_cole.rpy	50
cole_events_5238d24c	cole	Well, actually I have heard some rather harsh things about Irridiss lately.	game/ch_cole.rpy	53
cole_events_5f53e3b1	cole	I don't really know what to make of it, but I don't think I'm in much of a place to do anything about it, to be honest	game/ch_cole.rpy	54
cole_events_692e4dd1	cole	Why would you ask such a question, just out of curiosity?	game/ch_cole.rpy	56
cole_events_35ae79c0	p	Oh, just getting a feel for the community is all. Rumors make me uneasy, and I do not like being out of the know.	game/ch_cole.rpy	57
cole_events_aa6620bc	cole	Okay then, [alias.title_last]. Anything else I can help you with today?	game/ch_cole.rpy	58
cole_Bg_tree_start_3e361c29	p	So what can you tell me about your past? You seem like you are full of rich stories.	game/ch_cole.rpy	62
cole_Bg_tree_start_d2f05fdb	cole	I'd prefer not to talk about the past - it's not really something I like to share, and I do not want anyone's pity.	game/ch_cole.rpy	63
cole_Bg_tree_start_041968a4	p	Everything alright, Cole?	game/ch_cole.rpy	65
cole_Bg_tree_start_602b0efa	cole	Yes. I'm fine.	game/ch_cole.rpy	66
cole_Bg_tree_pursue_3164fd48	p	Well, is there anything else you can tell me about the history of this planet? When you got here or what it was like being exposed to the kaldreans for the first time?	game/ch_cole.rpy	74
cole_Bg_tree_apologize_3741c02a	p	I apologize, I didn't realize that it was a delicate topic for you.	game/ch_cole.rpy	81
cole_Bg_tree_apologize_c3d1cbe4	cole	It's okay, I didn't mean to snap at you. Things weren't always as easy for us as kids. Even less so during the contact conflict.	game/ch_cole.rpy	83
cole_Bg_tree_apologize_36fd326d	cole	As my great granddad would say, "Walking to the Academy was uphill, both ways!" Oh, how he cracked me up. Never thought it would stick with me for all these years.	game/ch_cole.rpy	84
cole_Bg_tree_confidentiality_bb5668d5	p	Well, if you ever have anything you want to share with me, you have my complete confidentiality. I'd be happy to listen.	game/ch_cole.rpy	92
cole_Bg_tree_confidentiality_f125e71d	cole	Well, you seem like a well-mannered kid. Here's a little about Old Cole.	game/ch_cole.rpy	94
cole_Bg_tree_confidentiality_93606775	cole	I was part of Operation Bridge, on the TSS Destroyer Verdict. I was the Gunnery Officer on board. It was that operation we made first contact with the kaldreans, actually.	game/ch_cole.rpy	96
cole_Bg_tree_confidentiality_a164a987	cole	Then the fighting began... I lost some of my closest friends that day. A lost some of myself as I watched the Verdict lose its battle with gravity and fell to Bridge.	game/ch_cole.rpy	99
cole_Bg_tree_confidentiality_621b4663	cole	It was a fight no one wanted, but it was a fight nonetheless. I was unable to forgive the kaldreans for many years.	game/ch_cole.rpy	101
cole_Bg_tree_confidentiality_3612c34a	cole	Eventually it became evident that we had both wronged one another, and that it was time I moved on. It was difficult, but I'm past it now.	game/ch_cole.rpy	103
cole_Bg_tree_confidentiality_7e909e69	cole	Took my mind off things by applying myself to electronics. Turns out I have a penchant for it. After Uncle Klay opened up his place I was second.	game/ch_cole.rpy	105
cole_Bg_tree_confidentiality_36a3ef54	cole	I faced the problem head on, and I'm a better person now because of it. Remember not to turn away from your fears, because they will still be there.	game/ch_cole.rpy	107
cole_Bg_tree_confidentiality_19c58c3a	p	Right. Well thank you very much for sharing on such a fragile topic.	game/ch_cole.rpy	108
ch_jon_ae12121a	jon	Was I not clear? Don't talk to me, [alias.last], unless you find spending time in confinement appealing.	game/ch_jon.rpy	11
ch_jon_f638de8d	jon	[last_dialog]	game/ch_jon.rpy	17
ch_jon_bdfcd683	jon	Give me a moment here...	game/ch_jon.rpy	20
ch_jon_6e625b25	jon	HEY! JANS! GET YOUR PEOPLE ON THE TARMAC ASAP.	game/ch_jon.rpy	21
ch_jon_d16f41da	jon	Sorry. Can I help you [alias.address]?	game/ch_jon.rpy	22
ch_jon_b7dfc43d	p	I'm just trying to get to know people here.	game/ch_jon.rpy	24
ch_jon_a6c0c1c5	jon	New to Concord? Welcome. I'm Jonathan Caise, manager of logistics here at the port.	game/ch_jon.rpy	26
ch_jon_0c9ba35b	p	[alias.full], diplomat over at the Human Embassy.	game/ch_jon.rpy	28
ch_jon_84d66abd	jon	Greenhorn diplomat? Make sure you really take your time to get to know people.	game/ch_jon.rpy	30
ch_jon_6abd14dd	jon	I've seen my fair share of rookies bail and out and leave because Concord is too much a culture shock for them. But you look like you've got a good head on your shoulders.	game/ch_jon.rpy	31
ch_jon_f3ffca18	p	I'm determined to leave my footprint here.	game/ch_jon.rpy	34
menu_jon_b8748030	jon	[last_dialog]	game/ch_jon.rpy	41
jon_advice_efd66584	p	Do you have any advice for a newcomer like me?	game/ch_jon.rpy	63
